ID,V2,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
201,0.9,4.0,2.1,1.8,6.3,41.0,4.5,0.0,1.0,0.0,0.0,2.0
202,0.4,2.5,1.2,1.7,5.2,35.0,3.3,0.0,1.0,0.0,0.0,1.0
203,3.268713220709736,7.1,3.5,3.4,6.268395853962725,55.0,5.2,0.0,1.0,1.0,0.0,3.0
204,1.5,4.8,1.9,2.5,7.2,36.0,4.798333333333333,1.0,0.0,1.0,0.0,1.0
205,1.4,4.8,3.3,2.6,3.8,49.0,4.9,0.0,1.0,0.0,0.0,2.0
206,2.1,5.8,3.4,2.8,4.7,49.0,5.9,0.0,1.0,0.0,1.0,3.0
207,1.5,4.8,1.9,2.5,7.2,36.0,4.798333333333333,1.0,0.0,1.0,0.0,1.0
208,1.3,6.1,3.2,3.9,6.7,54.0,5.8,0.0,1.0,0.0,1.0,3.0
209,2.8,3.5,3.1,1.7,5.4,49.0,5.4,0.0,1.0,0.0,1.0,3.0
211,2.8,7.1,3.0,3.8,7.9,49.0,4.4,0.0,1.0,1.0,1.0,2.0
212,1.7,4.2,3.3,1.4,5.8,39.0,5.5,0.0,1.0,0.0,0.0,2.0
213,3.483025084214483,7.8,3.6,4.0,5.9,43.0,5.2,0.0,1.0,1.0,1.0,2.0
215,0.5,4.5,2.2,2.1,5.0,31.0,4.0,0.0,1.0,0.0,1.0,1.0
216,1.6,5.0,1.6084387202338144,2.1,8.4,25.0,3.4,1.0,0.0,1.0,1.0,1.0
217,0.5,4.8,3.3,2.8,7.1,60.0,5.2,0.0,1.0,0.0,1.0,3.0
218,2.8,5.0,2.605614251570248,2.7,8.4,38.0,3.7,1.0,0.0,1.0,0.0,1.0
219,2.2,6.8,2.6,2.9,8.383853369161532,34.833759979259504,4.3,1.0,0.0,1.0,0.0,1.0
220,1.79377813946292,7.0,3.2,3.7,8.0,33.0,5.4,0.0,1.0,0.0,0.0,1.0
221,1.6,4.8,2.0,2.8,6.632843446592078,32.0,4.3,0.0,1.0,0.0,0.0,1.0
222,2.2,4.6,3.43436115555976,2.5,8.3,47.0,5.0,0.0,1.0,0.0,1.0,2.0
223,1.4,3.8,2.1,1.4,6.6,39.0,4.4,1.0,0.0,1.0,0.0,1.0
224,1.3555692332163392,5.7,2.7,3.7,6.7,36.513044431064614,5.0,0.0,1.0,0.0,1.0,1.0
225,1.3,5.1466666666666665,3.0,2.6,6.8,54.0,5.9,0.0,1.0,0.0,0.0,3.0
226,2.0,4.7,2.7,1.7,4.8,49.0,4.7,0.0,1.0,0.0,0.0,3.0
227,3.788145345205396,5.1,3.6,2.9,6.2,49.41959101335205,4.4,0.0,1.0,1.0,1.0,2.0
228,1.8,5.1466666666666665,3.4,1.5,5.9,40.0,5.6,0.0,1.0,0.0,0.0,2.0
229,1.4,6.1,2.9459013703004415,3.9,6.8,54.0,5.9,0.0,1.0,0.0,1.0,3.0
230,1.3,6.7,3.0,2.6,6.8,55.0,6.0,0.0,1.0,0.0,0.0,3.0
231,0.7,6.0,2.1,2.5,6.322648350234507,41.0,5.0,0.0,1.0,0.0,0.0,2.0
232,3.2228924377784756,5.0,3.6,2.5,9.0,53.0,5.2,1.0,0.0,1.0,1.0,2.0
234,2.4,4.9,2.5,2.6,9.2,32.0,3.7,1.0,0.0,1.0,1.0,1.0
235,0.8,2.9,1.6,2.6015873015873017,5.6,39.0,4.798333333333333,0.0,1.0,0.0,0.0,1.0
236,2.6,7.0,2.8,3.6,7.7,47.0,4.2,0.0,1.0,1.0,1.0,2.0
237,4.076244712860734,6.9,4.6,4.0,9.6,62.0,6.2,1.0,0.0,1.0,0.0,2.0
238,2.5,5.5,4.0,3.0,7.7,65.0,6.0,0.0,1.0,0.0,0.0,3.0
239,1.8,5.4,3.1,2.5,4.4,46.0,5.6,0.0,1.0,0.0,1.0,3.0
240,1.5,2.7,1.3,1.2,1.7,50.0,5.0,1.0,0.0,1.0,1.0,2.0
241,1.9,4.5,2.9106030902083457,3.1,3.8,54.0,4.8,0.0,1.0,0.0,1.0,3.0
242,1.9,5.8,3.6,2.3,4.5,60.0,6.1,0.0,1.0,0.0,0.0,3.0
243,1.1,5.5,2.5,2.7,7.4,47.0,5.3,0.0,1.0,0.0,1.0,3.0
244,3.8,4.9,3.4,2.6,6.0,48.04782167836069,4.2,0.0,1.0,1.0,1.0,2.0
246,1.4,5.1466666666666665,2.6,2.3,6.8,45.0,4.9,0.0,1.0,0.0,0.0,2.0
247,2.5,6.2,3.3,3.9,7.3,59.0,6.0,0.0,1.0,0.0,0.0,3.0
248,2.854603446796429,5.3,3.0,2.5,7.1,46.0,4.5,1.0,0.0,1.0,0.0,2.0
249,2.1443326593294465,3.7,3.5,1.9,4.8,58.0,4.3,0.0,1.0,0.0,0.0,3.0
250,3.7,5.2,3.0,2.3,9.1,49.0,4.8,1.0,0.0,1.0,1.0,2.0
251,3.2,5.3,3.1,3.0,8.0,43.0,3.3,1.0,0.0,1.0,0.0,1.0
252,3.8,6.9,3.3,3.2,8.2,53.0,5.0,0.0,1.0,1.0,0.0,3.0
253,2.0,5.9,3.7,2.4,4.6,60.0,6.1,0.0,1.0,0.0,0.0,3.0
254,3.7,5.7,3.5,3.4,8.4,47.0,3.8,1.0,0.0,1.0,0.0,1.0
255,1.0,3.4,1.7,1.1,6.2,35.0,4.1,1.0,0.0,1.0,0.0,1.0
256,3.3,4.5,2.5,2.4,7.6,39.0,3.6,1.0,0.0,1.0,1.0,1.0
257,3.4552449915944035,5.8,3.7,2.5,9.3,44.0,4.8,1.0,0.0,1.0,1.0,2.0
258,0.9,5.4,2.4,2.6,7.3,46.0,5.1,0.0,1.0,0.0,1.0,3.0
259,2.1,5.4,1.1,2.6,8.9,29.0,3.9,1.0,0.0,1.0,1.0,1.0
260,2.0,4.5,2.1,2.2,8.8,28.0,3.3,1.0,0.0,1.0,1.0,1.0
262,2.2,3.1,4.0,1.6,5.3,55.0,3.9,0.0,1.0,0.0,1.0,3.0
264,1.3,4.5,3.3,2.7,7.3,60.0,5.1,0.0,1.0,0.0,1.0,3.0
265,2.0,6.6,2.4,2.7,8.2,41.0,4.1,1.0,0.0,1.0,0.0,1.0
266,2.4,4.9,3.2,2.7,8.5,49.0,5.2,0.0,1.0,0.0,1.0,2.0
267,0.8,5.1466666666666665,2.2,2.6,5.3,42.0,5.1,0.0,1.0,0.0,0.0,2.0
268,2.6,3.3,2.9,1.5,5.2,47.0,4.798333333333333,0.0,1.0,0.0,1.0,3.0
269,1.9,4.5,1.5,3.1,9.9,39.0,3.3,1.0,0.0,1.0,1.0,1.0
270,1.6,4.6,3.1,2.1,6.8,56.0,5.1,0.0,1.0,0.0,0.0,3.0
